date_collecte,type_dimension,valeur_dimension,nombre_offres
2026-08-31,Competence,Documenter les procédures d'analyse pour assurer la continuité,1
2026-08-14,Competence,Rédaction de publications scientifiques,1
2026-08-14,Competence,"Identifier et sélectionner des fournisseurs, sous-traitants, prestataires",1
2026-08-14,Competence,Planifier les mises à jour systèmes sans interruption de service,2
2026-08-14,Competence,Configurer des serveurs pour des applications Cloud,1
2026-08-31,Competence,Techniques de montage audiovisuel,1
2026-08-31,Competence,Collaborer avec des experts en éthique pour évaluer les projets d'IA,1
2026-08-31,Competence,"Backend : Python, FastAPI",1
2026-08-14,Competence,"Tester un logiciel, un système d'informations, une application",3
2026-08-14,Competence,Intelligence artificielle,3
2026-08-14,Competence,Développer des scripts pour automatiser les tâches,2
2026-08-14,Competence,Master mention informatique,4
2026-08-31,Competence,Respecter les normes éthiques dans le développement de l'IA,1
2026-08-31,Competence,Rédiger des rapports d'intervention détaillés,1
2026-08-14,Competence,"Techniques de communication orales, écrites et numériques",1
2026-08-31,Competence,"Sélectionner, traiter et réaliser l'analyse spatiale de données géographiques",1
2026-08-31,Competence,Contrôler des données qualité,1
2026-08-31,Competence,"Organiser, aménager un espace de vente",1
2026-08-14,Competence,"Concevoir l'architecture d'un système, d'un réseau",2
2026-08-31,Competence,"Entretenir un équipement, une machine, une installation",2
2026-08-31,Competence,Gestion des brevets et propriété intellectuelle,1
2026-08-31,Competence,BTS services informatiques aux organisations option B : solutions logicielles et applications métiers,1
2026-08-14,Competence,Proposer des solutions adaptées aux problématiques de santé,1
2026-08-14,Competence,javascript,1
2026-08-15,Competence,Méthodologies Agile et Cycle en V,1
2026-08-14,Competence,valorisation dans des revues internationales,1
2026-08-14,Competence,machine learning,1
2026-08-15,Competence,Déterminer des mesures correctives,1
2026-08-15,Competence,Outils qualité et amélioration continue,1
2026-08-31,Competence,Analyse des risques financiers,1
2026-08-31,Competence,WEB,1
2026-08-14,Competence,"Mettre en place une blockchain (protocoles, consensus etc.)",1
2026-08-31,Competence,Analyse de données,1
2026-08-31,Competence,Analyse de performance,1
2026-08-14,Competence,"Git, GitHub ou GitLab",1
2026-08-14,Competence,Suivre les évolutions réglementaires,1
2026-08-15,Competence,Recueillir et analyser les besoins client,1
2026-08-14,Competence,"Superviser des opérations, des actions",1
2026-08-31,Competence,Contrôler la qualité et la conformité des process,1
2026-08-31,Competence,Changer ou réparer une pièce ou un ensemble défectueux,1
2026-08-14,Competence,Google Analytics,1
2026-08-15,Competence,Optimiser la performance de l'organisation,1
2026-08-31,Competence,Procéder aux phases de tests et de recettes des applications développées,1
2026-08-31,Competence,Optimiser les processus de qualité pour assurer la fiabilité des logiciels,1
2026-08-14,Competence,Agir rapidement en cas de panne pour minimiser les interruptions,1
2026-08-31,Competence,Respecter les normes de confidentialité des données génétiques,1
2026-08-14,Competence,Informatique,1
2026-08-31,Competence,DUT informatique,1
2026-08-14,Competence,Diplôme d'ingénieur IA ou MASTER informatique IA,1
2026-08-14,Competence,Implémenter des solutions de sécurité informatique,1
2026-08-14,Competence,Connaissance d'AWS,1
2026-08-14,Competence,Azure App Service,1
2026-08-15,Competence,Maîtrise de l'outil de gestion Jira,1
2026-08-15,Competence,Modélisation informatique,1
2026-08-31,Competence,Développer des stratégies d'innovation adaptées aux besoins du marché,1
2026-08-31,Competence,Analyser des données techniques pour optimiser les processus,1
2026-08-14,Competence,rigueur documentaire,1
2026-08-14,Competence,Développer une démarche pédagogique pour l'enseignement des savoirs fondamentaux,1
2026-08-14,Competence,Connexion électrique,1
2026-08-31,Competence,Licence pro mention métiers de l'informatique : applications web,1
2026-08-14,Competence,Meta ads,1
2026-08-14,Competence,Documenter les interventions et les anomalies rencontrées,1
2026-08-14,Competence,Gérer et déployer des logiciels à distance,5
2026-08-15,Competence,Vérifier la conformité de fonctionnement et d'utilisation des systèmes d'information,1
2026-08-31,Competence,"Rédiger un cahier des charges, des spécifications techniques",44
2026-08-31,Competence,Concevoir et développer une solution digitale,5
2026-08-31,Competence,Adapter les outils de traitement statistique de données,26
2026-08-31,Competence,Application web,23
2026-08-14,Competence,Mettre en place des outils d'aide à la décision,1
2026-08-15,Competence,Analyser les besoins des utilisateurs pour la conception de systèmes,5
2026-08-14,Competence,"Réaliser une veille de marché, une veille concurrentielle",3
2026-08-14,Competence,Communiquer avec les professionnels de santé pour collecter des informations,1
2026-08-31,Competence,Effectuer un reporting régulier à la hiérarchie,2
2026-08-31,Competence,Analyser les besoins des utilisateurs pour la conception de systèmes,2
2026-08-14,Competence,"Réaliser les travaux de montage, d'assemblage",1
2026-08-31,Competence,Langages de programmation informatique,4
2026-08-14,Competence,Programmation en Python,9
2026-08-14,Competence,Développement front-end et back-end,2
2026-08-14,Competence,Kubernetes,1
2026-08-31,Competence,"Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site",1
2026-08-14,Competence,"Préparer et animer une réunion, un groupe de travail, un atelier",3
2026-08-14,Competence,Github,1
2026-08-31,Competence,Superviser les opérations de migration de données,1
2026-08-31,Competence,Déterminer des axes d'évolution technologiques,5
2026-08-14,Competence,Méthodes et procédures de contrôle comptable,1
2026-08-31,Competence,Python,1
2026-08-14,Competence,Proposer des pistes d'amélioration des solutions,2
2026-08-14,Competence,"Développer un logiciel, un système d'informations, une application",10
2026-08-14,Competence,"analyse multivariée, séries temporelles",1
2026-08-31,Competence,Connaissance des indicateurs de risque de blanchiment,1
2026-08-14,Competence,Analyse de données opérationnelles,2
2026-08-14,Competence,Techniques de soudure,1
2026-08-31,Competence,Rendre compte de son activité,2
2026-08-31,Competence,Préparer du matériel en prévision d'un travail,1
2026-08-14,Competence,Exécuter des gestes avec dextérité,1
2026-08-14,Competence,Gérer le budget alloué aux projets d'innovation,1
2026-08-14,Competence,Linux Debian,1
2026-08-15,Competence,Adapter les outils de traitement statistique de données,1
2026-08-14,Competence,"Licence pro mention métiers de l'informatique : conception, développement et test de logiciels",1
2026-08-31,Competence,Résoudre les problèmes techniques et bugs des sites,2
2026-08-31,Competence,Optimisation des processus DevOps,2
2026-08-14,Competence,Elaborer et mettre en oeuvre un plan de tests,3
2026-08-14,Competence,"analyse de trajectoires (GBTM), machine learning",1
2026-08-14,Competence,Parler une ou plusieurs langues étrangères,1
2026-08-31,Competence,Vérifier les composants et les disposer en fonction du déroulement des opérations de montage,1
2026-08-14,Competence,Informatica,1
2026-08-14,Competence,"Sélectionner, assembler et intégrer des composants informatiques (progiciels, bases de données, développements spécifiques, ...)",2
2026-08-14,Competence,"Piloter la gestion de la production, de l'exploitation",2
2026-08-15,Competence,"Calculer les marges, la rentabilité d'un produit ou d'une activité",2
2026-08-31,Competence,Utiliser l'anglais dans un contexte professionnel,4
2026-08-31,Competence,"Maîtrise des logiciels SAS, R, SQL, Python",1
2026-08-31,Competence,"Calculer les marges, la rentabilité d'un produit ou d'une activité",1
2026-08-14,Competence,Procédures de contrôle comptable,1
2026-08-31,Competence,Convaincre en argumentant avec un ou plusieurs interlocuteurs,1
2026-08-31,Competence,Mise à jour des procédures,1
2026-08-31,Competence,Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives,4
2026-08-14,Competence,Symfony,1
2026-08-14,Competence,C++,1
