numero_fiche,intitule_certification,nombre_offres,codes_rome_distincts,methode_correspondance,niveau_confiance
RNCP39493,"Mathématiques appliquées, statistique (fiche nationale)",16,2,correspondance_officielle_france_competences,officiel
RNCP39664,"Ingénieur diplômé du Conservatoire national des arts et métiers, spécialité Génie biologique",11,2,correspondance_officielle_france_competences,officiel
RNCP39902, Ingénieur diplômé de l’Institut Supérieur d’Études Logistiques de l’Université du Havre spécialité Génie Énergétique et Électrique,11,2,correspondance_officielle_france_competences,officiel
RNCP39955,Manager de projet pour l'industrie 4.0 (MS),10,2,correspondance_officielle_france_competences,officiel
RNCP40022,Ingénieur diplômé de l’École Nationale Supérieure de Mécanique et des Microtechniques spécialité Mécanique,12,3,correspondance_officielle_france_competences,officiel
RNCP40133,"Ingénieur diplômé de l’École nationale supérieure d’ingénieurs de Bretagne Sud de l’université de Bretagne-Sud, spécialité mécatronique",13,4,correspondance_officielle_france_competences,officiel
RNCP40200,"Ingénieur diplômé de l’École Centrale de Nantes, spécialité Mécanique",12,3,correspondance_officielle_france_competences,officiel
RNCP40206,"Ingénieur diplômé de l’école polytechnique universitaire de l’université de Tours, spécialité électronique et génie électrique",9,1,correspondance_officielle_france_competences,officiel
RNCP40226,Mathématiques appliquées,9,1,correspondance_officielle_france_competences,officiel
RNCP40510,Métiers de l'industrie : industrie navale et maritime (fiche nationale),9,1,correspondance_officielle_france_competences,officiel
RNCP40560,Responsable en transition écologique (MS),9,1,correspondance_officielle_france_competences,officiel
RNCP40764,"Ingénieur spécialisé en Ingénierie des chaines de traction, diplômé de l'Ecole nationale supérieure du pétrole et des moteurs",12,3,correspondance_officielle_france_competences,officiel
RNCP40770,Ingénieur diplômé de l'École nationale d'ingénieurs de Tarbes de l'Université de technologie de Tarbes,12,3,correspondance_officielle_france_competences,officiel
RNCP40814,Ingénieur diplômé de l'Ecole Nationale Supérieure de Chimie de Lille de Centrale Lille Institut,11,2,correspondance_officielle_france_competences,officiel
RNCP40940,"Ingénieur diplômé de l'Ecole Nationale Supérieure d'Electrotechnique, d'Electronique, d(Informatique, d'Hydraulique et des Télécommunications, de l'Institut National Polytechnique de Toulouse- Spécialité Electronique et Génie électrique",9,1,correspondance_officielle_france_competences,officiel
RNCP40945,"Ingénieur diplômé de l'Université de Technologie de Compiègne (UTC), spécialité Génie des Procédés",12,3,correspondance_officielle_france_competences,officiel
RNCP40961,"Ingénieur diplômé de l’Ecole Polytechnique Universitaire de l’Institut polytechnique de Grenoble, spécialité Matériaux",12,3,correspondance_officielle_france_competences,officiel
RNCP41016,Technicien en conception et en industrialisation,10,2,correspondance_officielle_france_competences,officiel
RNCP41099,Ingénieur Bioprocédés (MS),12,3,correspondance_officielle_france_competences,officiel
RNCP41157,"Ingénieur spécialisé en Energie et produits, diplômé de l'Ecole nationale supérieure du pétrole et des moteurs",9,1,correspondance_officielle_france_competences,officiel
RNCP41163,Ingénieur diplômé de l'Ecole Nationale Supérieure Maritime,9,1,correspondance_officielle_france_competences,officiel
RNCP41169,"Ingénieur de l'école nationale supérieure des sciences appliquées et de technologie, spécialité photonique et électronique",11,2,correspondance_officielle_france_competences,officiel
RNCP41272,"Ingénieur diplômé de l’Ecole supérieure de chimie physique électronique de Lyon (CPE), spécialité chimie, génie des procédés",9,1,correspondance_officielle_france_competences,officiel
RNCP41497,"Ingénieur diplômé de l'Ecole d'Ingénieurs de l'Artois de l'Université d'Artois, spécialité Génie électrique",9,1,correspondance_officielle_france_competences,officiel
RNCP41501,"Ingénieur diplômé de l'université Paris X, spécialité mécanique",12,3,correspondance_officielle_france_competences,officiel
RNCP41584,Génie mécanique et productique : Simulation numérique et réalité virtuelle,10,2,correspondance_officielle_france_competences,officiel
RNCP42233,"Ingénieur diplômé de l’École polytechnique universitaire de l'université Lyon-I, spécialité génie biomédical",9,1,correspondance_officielle_france_competences,officiel
RNCP42290,"Ingénieur spécialisé en architecture navale, diplômé de l'école nationale supérieure de techniques avancées",9,1,correspondance_officielle_france_competences,officiel
RNCP42442,"Ingénieur diplômé du Conservatoire national des arts et métiers, spécialité Matériaux, emballage et conditionnement",12,3,correspondance_officielle_france_competences,officiel
RNCP42458,"Ingénieur diplômé d'ECAM LaSalle, spécialité mécanique et génie électrique",9,1,correspondance_officielle_france_competences,officiel
RNCP42469,Expert en design des matériaux et des structures (MS),10,2,correspondance_officielle_france_competences,officiel
RNCP42540,"Ingénieur diplômé du Conservatoire national des arts et métiers, spécialité Automatique et robotique",9,1,correspondance_officielle_france_competences,officiel
RNCP42545,"Ingénieur diplômé de l’Ecole supérieure de chimie, physique, électronique de Lyon (CPE), spécialité Génie des procédés",13,4,correspondance_officielle_france_competences,officiel
RNCP42564,"Ingénieur diplômé de l’Ecole supérieure de chimie physique électronique de Lyon (CPE), spécialité chimie, génie des procédés",9,1,correspondance_officielle_france_competences,officiel
RNCP42755,"Ingénieur diplômé de l’Institut Agro Rennes-Angers de l’Institut national d’enseignement supérieur pour l’agriculture, l’alimentation et l’environnement, spécialité agroalimentaire",11,2,correspondance_officielle_france_competences,officiel
RNCP36180,"Ingénieur de l'École nationale supérieure de chimie, de biologie et de physique, de l'Institut polytechnique de Bordeaux (ENSCBP - Bordeaux INP) spécialité agroalimentaire et génie industriel",3,2,correspondance_officielle_france_competences,officiel
RNCP39081,"Ingénieur diplômé du Conservatoire national des arts et métiers, spécialité Instrumentation",2,1,correspondance_officielle_france_competences,officiel
RNCP40264,Manager en numérisation des systèmes industriels,3,2,correspondance_officielle_france_competences,officiel
