rome_code,competence_code,competence_libelle_rome,nombre_offres
M1419,113255,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,1
M1806,483667,Assurer une communication claire et efficace avec l'équipe,5
M1805,485121,Maintenir à jour la documentation technique et les manuels d'utilisation,2
M1860,300195,"Concevoir un logiciel, un système d'informations, une application",5
M1805,109854,Systèmes d'exploitation informatique,1
M1828,484635,Assurer la conformité des livrables de projet,1
M1828,121028,Planifier et suivre les échéances de projet,1
M1419,479840,Analyse de données client,3
K2108,504177,Stimuler la participation étudiante en classe,1
M1827,120803,Programmation logicielle,1
M1827,400184,Gérer et déployer des logiciels à distance,2
H1215,102732,Langages de programmation informatique,2
M1841,400199,Analyser les besoins informatiques,1
H1215,300451,Relayer de l'information,2
M1879,499611,Superviser les opérations de migration de données,1
M1842,300488,Concevoir et gérer un projet,1
M1405,117218,Application des méthodes de machine learning dans BI,2
M1882,487128,Analyser les risques de sécurité pour les systèmes informatiques,1
M1851,403421,Assurer le suivi des chiffres de vente et réaliser le reporting associé,1
I1401,300082,"Analyser, résoudre un problème courant ou complexe",1
M1876,486975,Assurer la conformité réglementaire des solutions cloud,1
M1810,484475,Former les utilisateurs aux nouvelles technologies,1
M1818,109779,Modélisation informatique,1
M1811,404330,Piloter des opérations de tests informatiques,3
H2502,300175,"Piloter la gestion de la production, de l'exploitation",2
M1806,491247,Master mention informatique,1
M1810,115552,Gérer les droits d'accès des utilisateurs,2
M1818,121126,Progiciels de gestion intégrée d'entreprise (ERP),1
I1616,121054,Réaliser les essais de fonctionnement,1
M1717,477206,Analyse de performance,1
M1895,109922,Formaliser des données cartographiques et les diffuser sur des réseaux d'information,1
M1419,513457,Utiliser l'anglais dans un contexte professionnel,1
M1889,508633,Gérer les risques associés aux technologies d'IA,1
M1419,405051,Concevoir un plan d'analyse statistique,1
L1505,100518,Techniques de montage audiovisuel,1
M1818,300188,"Rédiger un cahier des charges, des spécifications techniques",3
M1895,109917,"Sélectionner, traiter et réaliser l'analyse spatiale de données géographiques",1
M1811,400145,Proposer des pistes d'amélioration des solutions,2
M1806,106861,Intégration de systèmes,1
M1811,300077,"Créer, élaborer et identifier des concepts innovants",1
